country,year,BX.KLT.DINV.WD.GD.ZS,FP.CPI.TOTL.ZG,NE.TRD.GNFS.ZS,NV.IND.TOTL.ZS,NY.GDP.MKTP.KD.ZG,NY.GDP.PCAP.KD,SE.SEC.ENRR,SI.POV.GINI,SL.UEM.TOTL.ZS,SP.URB.TOTL.IN.ZS
IND,1995,0.594986329567616,10.2248861637544,22.8674487062499,28.5998094242024,7.57449183788519,620.699954330379,44.9552116394043,,7.57,26.5661772139368
IND,1996,0.617479351603705,8.97715233826453,21.9294878713867,27.9122703698412,7.54952224920051,654.355928429641,44.8827896118164,,7.537,26.7648638746349
IND,1997,0.860208959660141,7.16425211462724,22.6193868670479,27.8370307633106,4.04982084998183,667.598423095039,45.3552589416504,,7.574,26.9696862023486
IND,1998,0.625286204187864,13.2308389767977,23.6994700790647,27.3030378517565,6.18441582172117,695.293709344799,,,7.596,27.1832515534447
IND,1999,0.472644191458928,4.66982038037594,24.8155980442929,26.5192933488596,8.84575555939531,742.53920839445,42.9011917114258,,7.583,27.4081672842903
IND,2000,0.765211694280817,4.0094359104519,26.9009229104474,27.3258283775917,3.84099115659129,756.704109527449,47.1734390258789,,7.589,27.6470407512523
IND,2001,1.05638020993358,3.77929312235637,25.9932547534365,26.4877773440307,4.82396626555771,778.507377528365,46.8245811462402,,7.611,27.9028652096636
IND,2002,1.01156946489919,4.29715203929563,29.5086629350614,27.6606541607882,3.80397532112175,793.615912906381,48.8069381713867,,7.681,28.1756878910456
IND,2003,0.605887857091792,3.80585899528851,30.592436132908,27.4741071211988,7.8603814759073,841.278894571674,51.4255714416504,,7.633,28.4660287698
IND,2004,0.765596855110284,3.76725173477515,37.503814059447,29.219106305293,7.92293661199932,892.596614581612,53.247371673584,27.7,7.598,28.7726067228528
IND,2005,0.886098378458823,4.24634362031922,42.0016696148691,29.5337641914637,7.92343062148318,947.732565646672,55.9314002990723,,7.551,29.0945497159107
IND,2006,2.13016842534495,5.79652337561634,45.7244804992652,30.9272399435883,8.06073257166651,1008.23275343783,56.7859497070312,,7.553,29.4309857146804
IND,2007,2.07339404668754,6.37288135593231,45.686268679348,30.9032382510869,7.6608150670107,1069.24696813025,59.1478385925293,,7.562,29.7810426848684
IND,2008,3.6205232354017,8.34926704907581,53.3682204392226,31.1367192409548,3.08669805921981,1086.50605251513,62.2119216918945,,7.629,30.1438485921815
IND,2009,2.65159033235479,10.8823529411764,46.2728696428837,31.1213721116744,7.86188883286074,1155.10163274172,61.3603210449219,27.8,7.636,30.5185314023263
IND,2010,1.6350340943491,11.9893899204244,49.2552064974161,30.7250782285817,8.49758470221235,1235.15939133951,64.9475936889648,,7.631,30.9042190810094
IND,2011,2.0020634629993,8.91179336483371,55.6238800135298,30.1616797630407,5.24131619937695,1281.61054354933,67.1251678466797,28.8,7.609,31.2746502853309
IND,2012,1.31293453035323,9.47899691419801,55.7937217287511,29.3985276965289,5.45638755166587,1333.09626557668,69.8089599609375,,7.645,31.5898935604399
IND,2013,1.5162764665975,10.0178784746102,53.8441319466777,28.4048995600246,6.38610640094825,1399.4537980287,69.4771270751953,,7.678,31.9096789235237
IND,2014,1.69565958990806,6.66565671867899,48.9221857470669,27.6564012026443,7.41022760508854,1484.31640682913,74.8887023925781,,7.656,32.2288233408821
IND,2015,2.09211521443253,4.90697344127256,41.9229138658647,27.34739147794,7.99625378571471,1583.99815907985,74.6113662719727,,7.629,32.5472990022299
IND,2016,1.9373641224439,4.94821634062141,40.082485713276,26.6189999399789,8.25630550179086,1694.46534973825,75.9372863769531,,7.611,32.8650780972823
IND,2017,1.50731583255894,3.32817337461298,40.7424969545225,26.5000166464804,6.79538341897911,1788.69770318446,74.6743774414062,,7.626,33.1821328157539
IND,2018,1.55821483801456,3.9388264669163,43.6169693323889,26.4120919013735,6.45385134497769,1883.35772705062,76.0025787353516,,7.652,33.4984353473598
IND,2019,1.78482633957161,3.72950573539129,39.9054035306442,24.5914753075066,3.87143694070356,1936.03067741067,75.8716506958008,,6.51,33.8139578818147
IND,2020,2.40620322673636,6.62343677628535,37.7581053292768,25.1229058078344,-5.77772470686801,1806.50110583878,77.6271548412386,,7.859,34.1286726088333
IND,2021,1.41217101040888,5.13140747176369,45.4230887840446,26.466523606501,9.68959249192875,1965.30943437506,80.6246396728944,,6.38,34.4425517181304
IND,2022,1.49248825904,6.69903414079852,50.0752701498882,25.3845195629461,7.60936497768895,2098.2112447615,81.1778608399708,25.5,4.822,34.7555673994206
IND,2023,0.771919134264091,5.64914318907925,44.9928422877561,25.302936496264,9.19075493028345,2270.9051808027,78.8639591218839,,4.172,35.0676918424186
IND,2024,0.694133152879562,4.95303550973656,44.6492935069676,24.6285041297852,6.49476552383821,2396.94999213544,78.1058073224606,,4.173,35.3788972368389
IND,2025,,,,,,,79.594985086469,,4.219,
