,mean,median,std_dev,std_error,min,max
palma_ratio,5.076414285574596,5.224798387096773,1.48155200610713,0.2660945955252453,3.046948356807512,7.195913461538463
gdp_growth,6.363882356135999,7.410227605088539,2.845259045302739,0.5110236101760115,-5.777724706868012,9.68959249192875
log_gdp_pc,7.060940778081774,7.051943612800446,0.4293937680793481,0.07712139740430628,6.377964094201842,7.781952371528161
education,62.6556466844537,62.75905609130858,13.176871624339038,2.3666360078574527,42.90119171142579,81.17786083997082
fdi,1.3823590771610386,1.41217101040888,0.754176656757414,0.1354541262184587,0.29738658139287294,3.6205232354017
industry,27.816496818721994,27.628201247310592,1.9569382403336562,0.35147648370287166,24.59147530750659,31.136719240954797
inflation,6.67073269396589,5.796523375616342,2.799774832112559,0.502854404328539,3.3281733746129794,13.230838976797708
trade,39.10226229032025,41.92291386586472,11.106120797891835,1.9947181802512095,20.078144376925497,55.79372172875107
unemployment,7.230612903225807,7.598000000000002,0.9960779981982453,0.17890088970862117,4.171999999999999,7.859
urban,30.60593230930298,30.518531402326296,2.8617455909257283,0.5139846811820068,26.371018863887212,35.37889723683891
va_score,61.576290322580654,62.208000000000006,3.2593387968671963,0.5853945290189179,54.35000000000001,66.52999999999999
cc_score,41.10496774193549,41.5355,2.1727405694737043,0.3902357262061517,36.59000000000002,44.72000000000001
ge_score,51.25098387096775,49.808499999999995,6.280985579212361,1.1280983119802541,40.679999999999986,61.17
