,palma_ratio,gdp_growth,log_gdp_pc,education,fdi,industry,inflation,trade,unemployment,urban,va_score,cc_score,ge_score
palma_ratio,1.0,-0.0022426657030056494,0.9563667093094319,0.9579642372977769,0.5014475893511319,-0.2862330733321547,-0.17893531057244522,0.766722090348093,-0.36887610468137816,0.9499226484775999,-0.4442243410416934,0.037039146641453684,0.789961866730971
gdp_growth,-0.0022426657030056494,1.0,-0.016493557905707133,-0.03582519138648459,-0.2912521989341335,0.19861548050510136,0.010998232302071977,0.08537945018980662,-0.21659929678193007,-0.04878653675172508,0.0715807134899983,-0.11988151692082957,-0.00019100072206944038
log_gdp_pc,0.9563667093094319,-0.016493557905707133,1.0,0.96429651308293,0.41717131790762607,-0.41475330624406304,-0.27670758212027546,0.7132752297663036,-0.5705490615487008,0.9976463682728738,-0.5966301276373989,0.11177402417577502,0.818288254521151
education,0.9579642372977769,-0.03582519138648459,0.96429651308293,1.0,0.45772421438137456,-0.35758371719957494,-0.13168761980109323,0.7250981998745483,-0.4761200529338411,0.9672691152187574,-0.5588877339776184,0.11632155711379158,0.7770204990458563
fdi,0.5014475893511319,-0.2912521989341335,0.41717131790762607,0.45772421438137456,1.0,0.3740691209443592,0.08663319362675145,0.6568069451335243,0.18398698335623867,0.41232018778965057,0.257516172756674,0.0896861055222517,0.296380634422265
industry,-0.2862330733321547,0.19861548050510136,-0.41475330624406304,-0.35758371719957494,0.3740691209443592,1.0,0.44787055179339025,0.27908856882281274,0.5245530159173625,-0.4288324594355369,0.8007420816533685,-0.29869811336154645,-0.5014657815446761
inflation,-0.17893531057244522,0.010998232302071977,-0.27670758212027546,-0.13168761980109323,0.08663319362675145,0.44787055179339025,1.0,0.054703090659634336,0.17284288333959197,-0.25495048147167404,0.2215064013868143,-0.044762946787306794,-0.29168900031999007
trade,0.766722090348093,0.08537945018980662,0.7132752297663036,0.7250981998745483,0.6568069451335243,0.27908856882281274,0.054703090659634336,1.0,-0.22296658073735495,0.7054606985772712,-0.06414913425487076,-0.22969293485124082,0.40578106677339576
unemployment,-0.36887610468137816,-0.21659929678193007,-0.5705490615487008,-0.4761200529338411,0.18398698335623867,0.5245530159173625,0.17284288333959197,-0.22296658073735495,1.0,-0.5783199660537511,0.7528522062319355,-0.13446656894049772,-0.4727031464214311
urban,0.9499226484775999,-0.04878653675172508,0.9976463682728738,0.9672691152187574,0.41232018778965057,-0.4288324594355369,-0.25495048147167404,0.7054606985772712,-0.5783199660537511,1.0,-0.6256038120199547,0.09931996816413514,0.8129161046039985
va_score,-0.4442243410416934,0.0715807134899983,-0.5966301276373989,-0.5588877339776184,0.257516172756674,0.8007420816533685,0.2215064013868143,-0.06414913425487076,0.7528522062319355,-0.6256038120199547,1.0,-0.1775849642087773,-0.5403606650445261
cc_score,0.037039146641453684,-0.11988151692082957,0.11177402417577502,0.11632155711379158,0.0896861055222517,-0.29869811336154645,-0.044762946787306794,-0.22969293485124082,-0.13446656894049772,0.09931996816413514,-0.1775849642087773,1.0,0.2923192672485725
ge_score,0.789961866730971,-0.00019100072206944038,0.818288254521151,0.7770204990458563,0.296380634422265,-0.5014657815446761,-0.29168900031999007,0.40578106677339576,-0.4727031464214311,0.8129161046039985,-0.5403606650445261,0.2923192672485725,1.0
